gene_symbol	geneid	ensemblid	geneNcbiType	geneDSI	geneDPI	genepLI	uniprotids	protein_classid	protein_class_name	disease_name	diseaseType	diseaseUMLSCUI	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseClasses_DO	diseaseClasses_HPO	numCTsupportingAssociation	numPMIDs	chemicalsIncludedInEvidence	score	yearInitial	yearFinal	evidence_level	evidence_index	diseaseid
ENO2	2026	ENSG00000111674	protein-coding	0.375	0.913	0.83872	Q6FHV6|P09104	DTO_05007624	Enzyme	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	1	1		0.8	2011	2011		0.946666666666667	C0007131
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Esophageal Neoplasm	disease	C0014859	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	1	1		0.8	2011	2011		0.909090909090909	C0014859
IL1A	3552	ENSG00000115008	protein-coding	0.323	0.957	0.060574	P01583			Pulmonary Fibrosis	disease	C0034069	Respiratory Tract Diseases (C08)|Pathological Conditions, Signs and Symptoms (C23)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the respiratory system (02086)	3	0		0.8				1	C0034069
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Fatty Liver	disease	C0015695	Digestive System Diseases (C06)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)|disease of anatomical entity (7)		2	1		0.8	2020	2020		0.818181818181818	C0015695
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Neoplasm, Tongue	disease	C0040411	Neoplasms (C04)|Stomatognathic Diseases (C07)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of head or neck (00152)|Abnormality of the digestive system (25031)	1	1		0.8	2006	2006		1	C0040411
IL1A	3552	ENSG00000115008	protein-coding	0.323	0.957	0.060574	P01583			Skin Disease	disease	C0037274	Skin and Connective Tissue Diseases (C17)	Disease or Syndrome (T047)	disease of anatomical entity (7)		1	2		0.8	2006	2012		1	C0037274
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Cirrhosis, Hepatic	disease	C0023890	Pathological Conditions, Signs and Symptoms (C23)|Digestive System Diseases (C06)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the digestive system (25031)	36	1		0.8	1999	1999		0.863636363636364	C0023890
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	J3QLU9|F5H1T4|P04626|X5DNK3	DTO_03300101	Kinase	Gallbladder Neoplasm	disease	C0016978	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	3	1		0.8	2014	2014		1	C0016978
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Coronary Disease	disease	C0010068	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)		4	0		0.8				0.833333333333333	C0010068
TIMP1	7076	ENSG00000102265	protein-coding	0.359	0.913		Q6FGX5|P01033	DTO_05007584	Enzyme modulator	Aneurysms	phenotype	C0002940	Cardiovascular Diseases (C14)	Pathologic Function (T046)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	2	1		0.8	2007	2007		0.857142857142857	C0002940
MMP2	4313	ENSG00000087245	protein-coding	0.317	0.913	6.2654e-05	P08253	DTO_05007624	Enzyme	Nearsightedness	disease	C0027092	Eye Diseases (C11)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the eye (00478)	1	0		0.8				1	C0027092
RAF1	5894	ENSG00000132155	protein-coding	0.407	0.913	1	P04049|A0A0S2Z4L5|L7RRS6	DTO_03300101	Kinase	Colorectal Neoplasm	disease	C0009404	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	3	2		0.8	2012	2016		0.933333333333333	C0009404
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	Q504U8|E7BSV0|F2YGG7|B7Z2I3|C9JYS6|P00533	DTO_03300101	Kinase	Mesothelioma, malignant	disease	C0345967	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)	3	1		0.8	2016	2016		0.857142857142857	C0345967
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Delirium	disease	C0011206	Behavior and Behavior Mechanisms (F01)|Mental Disorders (F03)|Nervous System Diseases (C10)|Pathological Conditions, Signs and Symptoms (C23)	Mental or Behavioral Dysfunction (T048)			2	2		0.8	2009	2014		0.571428571428571	C0011206
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Amyotrophic Lateral Sclerosis	disease	C0002736	Nutritional and Metabolic Diseases (C18)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the nervous system (00707)	0	0		0.75				0.84	C0002736
CRYAB	1410	ENSG00000109846	protein-coding	0.421	0.913	0.0054466	A0A024R3B9|P02511|V9HW27			Myopathy, Cardioskeletal, Desmin-Related, with Cataract	disease	C1837317	Cardiovascular Diseases (C14)|Eye Diseases (C11)|Musculoskeletal Diseases (C05)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	10		0.75	1994	2020		1	C1837317
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Embryonal rhabdomyosarcoma	disease	C0206656	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the musculoskeletal system (33127)	1	1		0.75	1995	1995		0.857142857142857	C0206656
KDM1A	23028	ENSG00000004487	protein-coding	0.461	0.913	0.0033519	O60341	DTO_05007378	Epigenetic regulator	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	0	1		0.75	2012	2012		1	C0007131
ENO1	2023	ENSG00000074800	protein-coding	0.462	0.913	9.131e-08	P06733|A0A024R4F1	DTO_05007624	Enzyme	Rheumatoid arthritis	disease	C0003873	Skin and Connective Tissue Diseases (C17)|Musculoskeletal Diseases (C05)|Immune System Diseases (C20)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)	0	1		0.75	2009	2009		1	C0003873
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Cutaneous T Cell Lymphoma	disease	C0079773	Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)|Immune System Diseases (C20)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of blood and blood-forming tissues (01871)	0	1		0.75	2015	2015		0.909090909090909	C0079773
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	P04626|J3QLU9|X5DNK3|F5H1T4	DTO_03300101	Kinase	Paget's Disease	disease	C1368019	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.75				0.666666666666667	C1368019
SMAD6	4091	ENSG00000137834	protein-coding	0.536	0.87	7.9018e-55	O43541	DTO_05007542	Transcription factor	Bicuspid aortic valve	disease	C0149630	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Cardiovascular Diseases (C14)	Congenital Abnormality (T019)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	1		0.75	2019	2019		0.833333333333333	C0149630
HMMR	3161	ENSG00000072571	protein-coding	0.513	0.87	5.3504e-06	O75330			Liver cell carcinoma	disease	C2239176	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the digestive system (25031)	0	1		0.75	2017	2017		1	C2239176
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Cerebrovascular Disorders	disease	C0007820	Cardiovascular Diseases (C14)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)		0	0		0.75				0.788461538461538	C0007820
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			NAFLD - Nonalcoholic Fatty Liver Disease	disease	C0400966	Digestive System Diseases (C06)	Disease or Syndrome (T047)	disease of anatomical entity (7)|disease of metabolism (0014667)|genetic disease (630)		8	1		0.75	2012	2012		1	C0400966
IL1A	3552	ENSG00000115008	protein-coding	0.323	0.957	0.060574	P01583			Acute myeloid leukemia	disease	C0023467	Hemic and Lymphatic Diseases (C15)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of blood and blood-forming tissues (01871)|Abnormality of the immune system (02715)|Neoplasm (02664)	0	0		0.75				0.75	C0023467
FGF2	2247	ENSG00000138685	protein-coding	0.337	0.913	0.011816	P09038	DTO_05007599	Signaling	Affective Disorders	disease	C0525045	Mental Disorders (F03)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		1	3		0.75	2009	2015		1	C0525045
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087X1Q1|K7PPA8|H2EHT1|A0A087WT22|P04637|A0A087WXZ1	DTO_05007542	Transcription factor	Squamous cell carcinoma of skin	disease	C0553723	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the integument (01574)	0	1		0.75	2016	2016		0.96551724137931	C0553723
ABL1	25	ENSG00000097007	protein-coding	0.395	0.913	1	P00519|Q59FK4	DTO_03300101	Kinase	Melanoma	disease	C0025202	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)	0	0		0.75				0.904761904761905	C0025202
MMP2	4313	ENSG00000087245	protein-coding	0.317	0.913	6.2654e-05	P08253	DTO_05007624	Enzyme	Liver cell carcinoma	disease	C2239176	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the digestive system (25031)	0	1		0.75	2010	2010		0.946236559139785	C2239176
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	squamous cell carcinoma of lung (diagnosis)	disease	C0149782	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	0	1		0.75	2016	2016		0.934782608695652	C0149782
TYMS	7298	ENSG00000176890	protein-coding	0.397	0.957	0.00025709	Q53Y97|P04818	DTO_05007624	Enzyme	ALL	disease	C0023449	Immune System Diseases (C20)|Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of blood and blood-forming tissues (01871)|Abnormality of the immune system (02715)|Neoplasm (02664)	0	0		0.75				0.857142857142857	C0023449
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Arterioscleroses, Coronary	disease	C0010054	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	0	0		0.75				0.854166666666667	C0010054
FGF2	2247	ENSG00000138685	protein-coding	0.337	0.913	0.011816	P09038	DTO_05007599	Signaling	Corneal Neovascularization	disease	C0085109	Pathological Conditions, Signs and Symptoms (C23)|Eye Diseases (C11)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the eye (00478)	0	1		0.75	1997	1997		1	C0085109
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	A8KAF4|Q9UBT1|H0Y4W6|P03372|A0A125SXW3|G4XH65	DTO_00102000	Nuclear receptor	Depression	disease	C0011570	Behavior and Behavior Mechanisms (F01)	Mental or Behavioral Dysfunction (T048)	disease of mental health (150)		0	4		0.75	2012	2013		0.777777777777778	C0011570
GAPDH	2597	ENSG00000111640	protein-coding	0.44	0.913	0.18849	V9HVZ4|P04406	DTO_05007624	Enzyme	Squamous cell carcinoma	disease	C0007137	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Abnormality of the integument (01574)|Neoplasm (02664)	1	1		0.75	2004	2004		0.857142857142857	C0007137
RAF1	5894	ENSG00000132155	protein-coding	0.407	0.913	1	L7RRS6|A0A0S2Z4L5|P04049	DTO_03300101	Kinase	Lung Neoplasm	disease	C0024121	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the respiratory system (02086)|Neoplasm (02664)	0	1		0.75	2002	2002		1	C0024121
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087X1Q1|Q53GA5|H2EHT1|A0A087WXZ1|A0A087WT22|K7PPA8	DTO_05007542	Transcription factor	Anaplastic Thyroid Carcinoma	disease	C0238461	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Abnormality of the endocrine system (00818)|Neoplasm (02664)	0	2		0.75	1992	1993		0.938775510204082	C0238461
TYMS	7298	ENSG00000176890	protein-coding	0.397	0.957	0.00025709	P04818|Q53Y97	DTO_05007624	Enzyme	Neoplasm, Ovarian	disease	C0919267	Urogenital Diseases (C12)|Neoplasms (C04)|Endocrine System Diseases (C19)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Abnormality of the genitourinary system (00119)|Neoplasm (02664)	0	1		0.75	2011	2011		0.909090909090909	C0919267
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087WXZ1|A0A087X1Q1|H2EHT1|P04637|K7PPA8|A0A087WT22	DTO_05007542	Transcription factor	Adrenal Gland Neoplasm	disease	C0001624	Neoplasms (C04)|Endocrine System Diseases (C19)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the endocrine system (00818)|Neoplasm (02664)	0	1		0.75	2014	2014		0.857142857142857	C0001624
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|H2EHT1|K7PPA8|A0A087X1Q1|P04637|A0A087WXZ1|A0A087WT22	DTO_05007542	Transcription factor	adenocarcinoma of breast (diagnosis)	disease	C0858252	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	2		0.75	1991	1993		1	C0858252
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	P03372|Q9UBT1|A0A125SXW3|A8KAF4|H0Y4W6|G4XH65	DTO_00102000	Nuclear receptor	Infertility, Male	disease	C0021364	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	0	2		0.75	2010	2012		0.894736842105263	C0021364
FGF2	2247	ENSG00000138685	protein-coding	0.337	0.913	0.011816	P09038	DTO_05007599	Signaling	Pulmonary Fibrosis	disease	C0034069	Respiratory Tract Diseases (C08)|Pathological Conditions, Signs and Symptoms (C23)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the respiratory system (02086)	0	1		0.75	1996	1996		0.916666666666667	C0034069
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	P02649|A0A0S2Z3D5			Cognitive Symptom	phenotype	C0525041	Nervous System Diseases (C10)|Behavior and Behavior Mechanisms (F01)|Pathological Conditions, Signs and Symptoms (C23)	Sign or Symptom (T184)			0	1		0.75	2020	2020		0.928571428571429	C0525041
ABL1	25	ENSG00000097007	protein-coding	0.395	0.913	1	P00519|Q59FK4	DTO_03300101	Kinase	carcinogenesis	disease	C0596263	Neoplasms (C04)|Pathological Conditions, Signs and Symptoms (C23)	Neoplastic Process (T191)			0	1		0.75	2013	2013		0.928571428571429	C0596263
FBP1	2203	ENSG00000165140	protein-coding	0.534	0.913	1.4098e-07	Q2TU34|P09467	DTO_05007624	Enzyme	Liver cell carcinoma	disease	C2239176	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the digestive system (25031)	0	1		0.75	2011	2011		0.916666666666667	C2239176
MAP3K7	6885	ENSG00000135341	protein-coding	0.44	0.913	0.99991	O43318	DTO_03300101	Kinase	Frontometaphyseal dysplasia	disease	C0265293	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Musculoskeletal Diseases (C05)	Congenital Abnormality (T019)	disease of anatomical entity (7)		0	1		0.75	2016	2016		1	C0265293
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Central Nervous System Neoplasms	disease	C0085136	Neoplasms (C04)|Nervous System Diseases (C10)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the nervous system (00707)	1	1		0.75	2015	2015		1	C0085136
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	H2EHT1|K7PPA8|A0A087X1Q1|A0A087WXZ1|P04637|A0A087WT22|Q53GA5	DTO_05007542	Transcription factor	Childhood Renal Wilms' Tumor	disease	C1333015	Neoplasms (C04)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	1		0.75	2017	2017		0.869565217391304	C1333015
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	H2EHT1|K7PPA8|A0A087X1Q1|A0A087WXZ1|P04637|A0A087WT22|Q53GA5	DTO_05007542	Transcription factor	Ovarian Serous Adenocarcinoma	disease	C1335177	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	0		0.75				0.909090909090909	C1335177
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WXZ1|A0A087X1Q1|A0A087WT22|Q53GA5|K7PPA8|H2EHT1	DTO_05007542	Transcription factor	Adenoid cystic carcinoma	disease	C0010606	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		0	2		0.75	2013	2016		0.866666666666667	C0010606
DHFR	1719	ENSG00000228716	protein-coding	0.485	0.913	0.060623	B0YJ76|B4DM58|P00374	DTO_05007624	Enzyme	MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLATE REDUCTASE DEFICIENCY	disease	C3151205	Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)			0	5		0.75	1975	2011		1	C3151205
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	P02649|A0A0S2Z3D5			Degeneration, Macular	disease	C0024437	Eye Diseases (C11)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the eye (00478)	0	1		0.75	2006	2006		1	C0024437
RAF1	5894	ENSG00000132155	protein-coding	0.407	0.913	1	L7RRS6|A0A0S2Z4L5|P04049	DTO_03300101	Kinase	Liver Neoplasm	disease	C0023903	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	1	1		0.75	2010	2010		1	C0023903
PRNP	5621	ENSG00000171867	protein-coding	0.402	0.957	0.00032079	F7VJQ1|Q53YK7|P04156			Neoplasm, Stomach	disease	C0038356	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	0	1		0.75	2007	2007		0.947368421052632	C0038356
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087X1Q1|K7PPA8|H2EHT1|A0A087WT22|P04637|A0A087WXZ1	DTO_05007542	Transcription factor	lymphoid neoplasm	disease	C0598798	Immune System Diseases (C20)|Neoplasms (C04)|Hemic and Lymphatic Diseases (C15)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		0	1		0.75	2009	2009		1	C0598798
RAF1	5894	ENSG00000132155	protein-coding	0.407	0.913	1	A0A0S2Z4L5|P04049|L7RRS6	DTO_03300101	Kinase	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	0	1		0.75	2006	2006		1	C0007131
DHFR	1719	ENSG00000228716	protein-coding	0.485	0.913	0.060623	B0YJ76|P00374|B4DM58	DTO_05007624	Enzyme	Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	0	2		0.75	2011	2017		0.866666666666667	C1458155
ANXA2	302	ENSG00000182718	protein-coding	0.403	0.913	3.8504e-06	H0YL33|A0A024R5Z7|P07355			Lung Neoplasm	disease	C0024121	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the respiratory system (02086)|Neoplasm (02664)	0	1		0.75	2010	2010		1	C0024121
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Hyperlipemias	disease	C0020473	Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)	Abnormality of metabolism/homeostasis (01939)	0	1		0.75	2014	2014		1	C0020473
ERBB2	2064	ENSG00000141736	protein-coding	0.298	0.957	0.059432	X5DNK3|P04626|F5H1T4|J3QLU9	DTO_03300101	Kinase	CARCINOMA OF ESOPHAGUS	disease	C0152018	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the digestive system (25031)	0	1		0.75	2016	2016		0.861111111111111	C0152018
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	A0A0S2Z3D5|P02649			Heart failure	disease	C0018801	Cardiovascular Diseases (C14)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the cardiovascular system (01626)	1	0		0.75				0.8	C0018801
APOE	348	ENSG00000130203	protein-coding	0.326	0.957	0.00025529	P02649|A0A0S2Z3D5			Primary open-angle glaucoma	disease	C0339573	Eye Diseases (C11)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the eye (00478)	0	0		0.75				0.541666666666667	C0339573
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	Q53GA5|A0A087X1Q1|K7PPA8|H2EHT1|A0A087WT22|P04637|A0A087WXZ1	DTO_05007542	Transcription factor	familial cancer of breast	disease	C0346153	Neoplasms (C04)|Skin and Connective Tissue Diseases (C17)	Neoplastic Process (T191)			0	8		0.75	2003	2020		0.9	C0346153
TNFSF11	8600	ENSG00000120659	protein-coding	0.401	0.913	0.65867	Q5T9Y4|O14788|Q54A98	DTO_05007599	Signaling	Albers Schoenberg Disease	disease	C0029454	Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)	0	1		0.75	2007	2007		0.75	C0029454
HSPB1	3315	ENSG00000106211	protein-coding	0.396	0.913	2.2734e-09	V9HW43|P04792			Distal spinal muscular atrophy	disease	C0393541	Nervous System Diseases (C10)	Disease or Syndrome (T047)			0	0		0.75				1	C0393541
ADA	100	ENSG00000196839	protein-coding	0.402	0.913	9.3522e-15	P00813|A0A0S2Z381|F5GWI4	DTO_05007624	Enzyme	SCID due to absent lymphoid stem cells (disorder)	disease	C0392607	Immune System Diseases (C20)|Hemic and Lymphatic Diseases (C15)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)	Disease or Syndrome (T047)			0	0		0.75				1	C0392607
HMMR	3161	ENSG00000072571	protein-coding	0.513	0.87	5.3504e-06	O75330			Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	0	1		0.75	2007	2007		0.85	C1458155
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Carcinoma	disease	C0007097	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Neoplasm (02664)	0	1		0.75	2011	2011		0.888888888888889	C0007097
HMGB1	3146	ENSG00000189403	protein-coding	0.36	0.957	0.99972	P09429	DTO_05007557	Nucleic acid binding	Neuralgias	phenotype	C0027796	Nervous System Diseases (C10)|Pathological Conditions, Signs and Symptoms (C23)	Sign or Symptom (T184)			0	1		0.75	2014	2014		1	C0027796
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Atherothrombosis	phenotype	C1963943	Cardiovascular Diseases (C14)	Pathologic Function (T046)	disease of anatomical entity (7)		0	4		0.75	1992	2007		1	C1963943
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|K7PPA8|A0A087WXZ1|A0A087X1Q1|Q53GA5|A0A087WT22|H2EHT1	DTO_05007542	Transcription factor	Myeloid neoplasia	disease	C2939461	Hemic and Lymphatic Diseases (C15)|Neoplasms (C04)	Neoplastic Process (T191)			0	1		0.75	2018	2018		0.951219512195122	C2939461
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	adenocarcinoma of large intestine (diagnosis)	disease	C1319315	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	0	0		0.75				0.909090909090909	C1319315
